keys,en,de,el,es,fr,gl,it,ja,ms,nb,nl,pl,pt_BR,ru,tr
continue_,Continue,Fortfahren,Συνέχεια,Continuar,Reprendre,Continuar,Riprendi,続ける,Teruskan,Fortsett,Doorgaan,Kontynuuj,Continuar,Продолжить,Devam et
help,Help,Hilfe,Βοήθεια,Ayuda,Aide,Axuda,Aiuto,ヘルプ,Bantuan,Hjelp,Hulp,Pomoc,Ajuda,Помощь,Yardım
give_up,Quit,Aufgeben,Έξοδος,Abandonar,Abandonner,Saír,Abbandonare,ゲームを終了,Keluar,Avslutt,Afsluiten,Zakończ,Sair,Выход,Çık
mode_1,Score race,Punkterennen,Αποτέλεσμα αγώνα,Carrera de puntos,Course au score,Carreira de puntos,Corsa al punteggio,スコアレース,Skor perlumbaan,Poengres,Scorerace,Wyścig o wynik,Corrida de pontos,Гонка на счет,Skor yarışı
mode_2,Time attack,Gegen die Zeit,επίθεση Χρόνος,Contrarreloj,Contre la montre,Contra o reloxo,Contro il tempo,タイムアタック,Serangan masa,Tidsres,Tijdrace,Atak czasu,Contra o relógio,Время атакует,Zamana karşı
mode_3,100 seconds,100 Sekunden,100 δευτερόλεπτα,100 segundos,100 secondes,100 segundos,100 secondi,100 seconds,100 saat,100 sekunder,100 seconden,100 sekund,100 segundos,100 секунд,100 saniye
score,Highscores:,Highscores:,Βαθμολογία:,Mejores puntuaciones:,Meilleurs scores :,Puntuacións máis altas:,Punteggi migliori:,ハイスコア,Skor tertinggi:,Bestenoteringer:,Hoogste scores:,Najlepsze wyniki:,Recordes:,Рекорды:,Yüksek Skorlar:
play,Start,Spielen,Έναρξη,Jugar,Jouer,Xogar,Gioca,スタート,Mula,Start,Starten,Start,Iniciar,Начать,Başla
restart,Restart,Wiederspielen,Επανεκκίνηση,Jugar de nuevo,Rejouer,Xogar de novo,Rigioca,再開する,Mula semula,Omstart,Herstarten,Restart,Reiniciar,Повторить,Yeniden Başla
diff_1,Easy,Anfänger,Εύκολα,Fácil,Débutant,Fácil,Debuttante,Easy,Mudah,Lett,Makkelijk,Łatwy,Fácil,Легко,Kolay
diff_2,Medium,Fortgeschrittener,Μεσαία,Intermedio,Moyen,Medio,Medio,Medium,Sederhana,Middels,Redelijk moeilijk,Średni,Médio,Средне,Orta
diff_3,Hard,Profi,Δυσκολα,Difícil,Confirmé,Difícil,Esperto,Hard,Sukar,Vanskelig,Moeilijk,Trudny,Difícil,Сложно,Zor
leaderboard,"×gg_leaderboards2,1× Leaderboard","×gg_leaderboards2,1× Leaderboard","×gg_leaderboards2,1× Πίνακας κατάταξης","×gg_leaderboards2,1× Paseo de la fama","×gg_leaderboards2,1× Classement","×gg_leaderboards2,1× líder","×gg_leaderboards2,1× Classifica","×gg_leaderboards2,1× リーダーボード","×gg_leaderboards2,1× Papan Peneraju","×gg_leaderboards2,1× Resultatliste","×gg_leaderboards2,1× Klassement","Tabela liderów ×gg_leaderboards2,1×","×gg_leaderboards2,1× Placar","×gg_leaderboards2,1× Список лидеров","×gg_leaderboards2,1× Leaderboard"
lvl,lvl,lvl,lvl,nvl,niv,nivel,liv,レベル,thp,niv,lvl,lvl,fase,lvl,Seviye
lvlcap,Lvl,Lvl,Lvl,Nvl,Niv,Nivel,Liv,レベル,Thp,Niv.,Lvl,Lvl,Fase,Lvl,Seviye
enter_name,Enter your name,Dein Name,Εισάγετε το όνομα σας,Escribe tu nombre,Saisissez votre nom,Insire o teu nome,Digita il tuo nome,名前を入力,Masukkan nama anda,Skriv inn navnet ditt,Vul uw naam in,Wpisz twoje imię,Digite seu nome,Введите ваше имя,İsminizi girin
save_name,Save,Speichern,Αποθήκευση,Guardar,Enregistrer,Gardar,Registrare,セーブする,Simpan,Lagre,Opslaan,Zapisz,Salvar,Сохранить,Kaydet
congrats,New high score!,Neuer Highscore!,Νέα υψηλή βαθμολογία!,¡Nuevo récord!,Nouveau meilleur score !,Novo récord!,Nuovo miglior punteggio!,ハイスコアです！,Skor tinggi baharu,Ny toppnotering,Nieuwe hoogste score!,Nowy wysoki wynik!,Novo recorde!,Новый рекорд!,Yeni yüksek skor!
reuse_name,Or pick one:,oder aus der Liste :,Ή επιλέξτε ένα:,O elige uno:,Ou un de la liste :,Ou elixe un:,O uno della lista:,または名前を選択,Atau ambil satu:,Eller velg én:,Of kies er één uit:,Albo wybierz jeden:,Ou escolha um:,Или выбрать один:,Veya bir tane seçin:
success,Success,Erfolg,Επιτυχία,Éxito,Succès,Correcto,Successo,成功,Berjaya,Suksess,Succes,Sukces,Sucesso,Удачно,Sonuç
how_to_play,How to play?,Wie spielt man?,Πώς παίζετε;,¿Cómo se juega?,Comment jouer ?,Como xogar?,Come giocare?,遊び方,Bagaimana hendak main?,Spillehjelp,Hoe speel ik dit?,Jak grać?,Como jogar?,Как играть?,Nasıl oynanır?
bonus_x2,Bonus x2,Bonus x2,Μπόνους x2,Puntos x2,Bonus x2,Bonus x2,Bonus x2,ボーナス×2,Bonus x2,Bonus x2,Bonus x2,Bonus x2,Bônus x2,Бонус x2,Bonus x2
objective,Goal,Ziel,Στόχος,Objetivo,Objectif,Obxectivo,obiettivo,ゴール,Matlamat,Mål,Doel,Cel,Objetivo,Цель,Gol
level,Level,Level,Επίπεδο,Nivel,Niveau,Nivel,livello,レベル,Tahap,Nivå,Level,Poziom,Fase,Уровень,Seviye
leave_left,leaves left,Verbliebene Blätter,φύλλα,hojas que quedan,feuilles restantes,follas restantes,foglie restanti,残り,daun berbaki,Gjenstående løv,resterende bladeren,pozostałych liści,folhas restantes,листков осталось,ayrılan yapraklar
quit,Exit,Verlassen,Εξοδος,Dejar,Quitter,Saír,Esci,ゲームを終了,Keluar,Avslutt,Afsluiten,Wyjdź,Sair,Выход,Çıkış
please_rate_it,"If you enjoy using Heriswap, please take a moment to rate it. Thanks for your support!","Wenn du Heriswap magst, dann bewerte uns bitte. Danke für deine Unterstützung!","Αν σας αρέσει να χρησιμοποιείτε το Heriswap, αφιερώστε λίγο χρόνο για να το αξιολογήσετε. Ευχαριστούμε για την υποστήριξή σας!","Si te gusta Heriswap, dedica un momento a valorarlo. ¡Gracias por tu apoyo!","Si vous aimez Heriswap, pourriez vous prendre quelques secondes pour laisser une évaluation ou un commentaire ? Merci d'avance !","Se o pasas ben xogando con Heriswap, por favor dedícalle un pouco do teu tempo a valoralo. Grazas!","Se ti è piaciuto Heriswap, spenderesti qualche secondo per lasciare una valutazione o un commento? grazie in anticipo.",Heriswapを面白いと思ったら、お手数ですが評価をお願いします。遊んでくれてありがとう。,"Jika anda menyukai Heriswap, sila berikan penarafan padanya. Terima kasih atas  sokongan anda!","Hvis du liker Heriswap, avsett et øyeblikks tid til å avgi din stemme. Takk for din støtte!","Als u Heriswap leuk vindt, neem dan even de tijd om het spel te waarderen. Bedankt voor uw steun!","Jeśli podoba ci się Heriswap, poświęć chwilę, aby nas ocenić. Dzięki za wsparcie!","Se você gostou de jogar Heriswap, por favor envie uma avaliação. Obrigado pelo suporte!","Если вам нравится использовать Heriswap, пожалуйста, оцените его, это займет немного времени. Спасибо за поддержку!","Heriswap'ı kullanmaktan mutluysanız, lütfen kısa bir zaman ayırıp oylama yapın. Desteğiniz için teşekkürler!"
rate_now,Rate now,Jetzt bewerten,Βαθμολογήστε τώρα,¡Valóralo!,Évaluer !,Valorar agora,valutare,すぐに評価する,Tarafkan sekarang,Stem nå,Nu waarderen,Oceń teraz,Avaliar agora,Оценить,Şimdi oyla
rate_later,Later,Später,Αργότερα,Más tarde,Plus tard,Máis tarde,Piu tardi,またの機会に,Kemudian,Senere,Later,Później,Depois,Поом,Sonra
